class_id	category	line	signature	guard	error_guard	uses_active	files	gender	body_sha256
mkN045	N	967	Str -> N	False	False	0		Masc	991771f5b0889f625f3791618407837f14e25bbaa91a912e150534331849f600
mkN046	N	987	Str -> N	False	False	0		Masc	cf3cdacc324488203d00f94d936fbbcaccb564e0a619912e2f545e5ab0d0336a
mkN047	N	1007	Str -> N	False	False	2	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:2	Masc	1d76cafe471be405eb721573e004e5884b5ca201e2935a049f65c77c6e526971
mkN048	N	1027	Str -> N	True	True	3	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:3	Fem	f7910fc0dbbdbae210c78591c22453e89fc884394b8dbf3ff7af9e7f37647d12
mkN049	N	1050	Str -> N	False	False	0		Masc	9cdf2501531b612d0a678f95a5c3c3f757f393abae680186f934817fa058a765
mkN050	N	1070	Str -> N	True	True	2	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:2	Masc	c43e41fb5097f4c6fbbd0a84c71f2a80a63530cbe14ffc18584ae1d233079b5a
mkN051	N	1096	Str -> N	True	True	0		Masc	18594e8edfda458effec1b6af6cd1ba6640bd0d2e3cda734fde65f618d8d2e54
mkN052	N	1119	Str -> N	False	False	8	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:8	Masc	70ff45be6d45136840d935b2627f8f7348cf6e1d1e85e503730a32ab30645ca8
mkN053	N	1139	Str -> N	True	True	5	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:5	Masc	82e7bc6dbeb65546c2a284d98ced3d084372717d44cfad2d6568e3cf4f715c5f
mkN054	N	1162	Str -> N	False	False	2	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:2	Masc	f2ea6dc958c3f14e8412d7785f1023c6a09b4f2a03d1c880f400f1dd38dd91e3
mkN055	N	1182	Str -> N	False	False	0		Masc	a9e1b7462cb7fdbede8f3ca064876bd6871990ba286066399988b2f2a56938cd
mkN056	N	1202	Str -> N	False	False	0		Masc	60082a51f8b86375b02888e8a99f168652a319ca87e66133ea619d560e114c9d
mkN057	N	1222	Str -> N	False	False	9	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:9	Fem	d145edb52b2c7b48cc0e7699093f09dfedb51ff13ad96c0c3d212af16a76c8a9
mkN058	N	1242	Str -> N	True	True	1	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:1	Masc	569f66f218f32757a62a0663712c87ebfb2719f5af5fb762fb1f6938bb0e2fba
mkN059	N	1265	Str -> N	False	False	11	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:11	Fem	318e30bceef8d38e9ba9d3fb6c75f0d1bb226632eebc1d9a8340b07459af98e2
mkN060	N	1285	Str -> N	False	False	1	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:1	Fem	30f2fbc9c67ef961ba3ac3443810b2d83e749c6b41faa81ccee213b9dd606360
mkN061	N	1305	Str -> N	False	False	0		Masc	478ebf188b7f7dc2830858a9a352c50ee46a0ad4039bbf7e806ee9b454dfbe7e
mkN062	N	1328	Str -> N	True	True	2	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:2	Fem	4676a30b57c93ceafb75c1ebfef7f29d5da179f031cb29fba987e8efa52e4eec
mkN063	N	1351	Str -> N	True	True	2	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:2	Masc	6e9d235768d7acc24eb5f83a9b0c445e1cb6e02f87f2abc6ffb5b2584feaed01
mkN064	N	1374	Str -> N	False	False	14	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:14	Masc	aeb872b3aa8fb1ba67313f7533305352b2949fba7a775853ffa2ebf25698cda9
mkN065	N	1394	Str -> N	True	True	0		Masc	401402af4fc6a2c3b1657f6ea269e39e2eb5a4846ee6b56d32c218df4905b4d0
mkN066	N	1423	Str -> N	False	False	1	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:1	Masc	bd7407890c18121187fcf39b4be54b92afecfa999faedc85e15139ca20b2dbfa
mkN067	N	1443	Str -> N	False	False	3	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:3	Masc	33994fb6c2a5f15d294349ccef9c074b4c58dfe0dc1f4c29761406a4862d5c11
mkN068	N	1464	Str -> N	True	True	2	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:2	Masc	061bc591af9d918ad0eff2188961f684fbc3e4b9bda47eb41d0af66ad07eec85
mkN069	N	1493	Str -> N	False	False	3	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:3	Masc	4e4b8bb9add1fa5bc820ce3bbc60a0692c85e16b48c509e44e2f51dc1672baea
mkN070	N	1513	Str -> N	False	False	2	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:2	Masc	cc2f51850f473979503c9670da3cb0a403de9d2f98eea5d8e478be7cbe7cdc63
mkN071	N	1533	Str -> N	True	True	7	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:7	Fem	06548c0c70e0ce0f6c33f9a5e4ef20fe6152b8f967746662e9bcdc7a06ab5178
mkN072	N	1556	Str -> N	True	True	22	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:22	Fem	7026409d88949eacb3f0d735a5a548e9951fd7cced54b8696e5aa2a8910e1e09
mkN073	N	1579	Str -> N	False	False	1	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:1	Fem	267c5bca59f1c77db8afde342a26540d50deaca24558bf25e38fd0aba1a1ef4f
mkN074	N	1599	Str -> N	False	False	15	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:15	Masc	583e289f604ff636b06a32c6fd6c7c00288f7f94ec73312145f0db4d91a3f49a
mkN075	N	1619	Str -> N	True	True	0		Masc	12dbab86b906dbe057a554a0bfac7189f2e0721b9f2d1e71983ceb6d3edcbf04
mkN076	N	1642	Str -> N	False	False	1	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:1	Fem	b3e2b06cfecd72069dafe5b3ecc1407d0cbceb429aa79fe4233a9e28acc117a7
mkN077	N	1662	Str -> N	True	True	0		Masc	5eb471958448fe9031d19985d0ebf649d5e5147fae6b7ba5ca9cf4259d728aff
mkN078	N	1685	Str -> N	False	False	3	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:3	Fem	3faeedaad93a6a0bd0c34b88f5ded35eed33676b8c6f7d8c16072ed641691a6e
mkN079	N	1705	Str -> N	True	True	9	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:9	Fem	147719f6bcf805eb659c76b1f63863e7ad09102c6d3e11609ddc90d7ad71c310
mkN080	N	1728	Str -> N	False	False	0		Fem	a9860703296382b84c46b8b4b4d5cc6ff6715826780fe478bb97b5a114b086b1
mkN081	N	1748	Str -> N	False	False	5	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:5	Masc	1fd0de758f5a6e8e0c9e4616c3e6bae54a32b7a80a7b5fbe9067c1f60974f4b5
mkN082	N	1777	Str -> N	False	False	3	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:3	Masc	f2a34c6e72983ddd6653f7b69d3078945b3245c03828cb32b7bd8dd63ff6dc6b
mkN083	N	1797	Str -> N	False	False	0		Masc	e904a71660045665078540a29da46633c4b65ee8a49e628bcc0bef961ba17217
mkN084	N	1817	Str -> N	False	False	0		Masc	0e30eee4559724db299e5d1e099808b07d42b1cbc1ad66f7d6434b076764ca8c
mkN085	N	1840	Str -> N	False	False	0		Masc	dfb8d2f42d41b38e8b956e98b5cbacd10ee697919046016b0549b80d222ac6e5
mkN086	N	1860	Str -> N	False	False	2	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:2	Masc	63409584d90f0d568d60a8216785d46750a1eff1f3b60a89d3e3bcf9e024565f
mkN087	N	1880	Str -> N	False	False	0		Masc	a0280a536ca8314de6fc1f3fac7ad54ff35a987c05c9135a290076478dd07d2d
mkN088	N	1900	Str -> N	False	False	1	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:1	Masc	d626f3d07b1a857465463a67c841f04b5dfdf33a7a25f8422a9dc12eb8e81087
mkN089	N	1941	Str -> N	False	False	3	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:3		df2dc74d3579b3083a19a559db39ae3bc8996d525c8fe25f91998a6d753a2237
mkN090	N	1945	Str -> N	False	False	1	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:1	Masc	c186e5c2161068b62b464c33494bc4ec6c2f363ac67e0c5eb576535459db2c46
mkN091	N	1980	Str -> N	False	False	0		Fem	59bb5991faefa15ea9202908fefbbc4e1dc85f487c137ff79d6a5897e5fa4012
mkN092	N	2001	Str -> N	True	True	0		Masc	8246dbae8af0b3bf389addbafb18a21af9d659e6e2230d816282fe2959502812
mkN093	N	2026	Str -> N	True	True	0		Masc	e312c02b486aa300ebe7099b5c13656fc28cbce561ce668d4478e410a425ed50
mkN094	N	2049	Str -> N	False	False	0		Fem	2e0c57068a4a18e3a9f2bdc4da943d6bdb3d7196933a75b9f43c017c8b1bc9ee
mkN095	N	2069	Str -> N	True	True	1	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:1	Masc	c5d9d727525a3ebbce1aac84743772acbd292e29c28617068ae0431a3adcf5fd
mkN096	N	2092	Str -> N	True	True	0		Masc	885162a4d16cd8a96cfe12a76d7cec6fc978a67defef2d1a7922ebae1510605f
mkN097	N	2121	Str -> N	False	False	1	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:1	Fem	7de63ae002fbff580d6041d1dff8367cf14eb6a9cda994dd98ff505b6a3fe383
mkN098	N	2142	Str -> N	False	False	0		Masc	19c535c7d4889fa0a829053480f7c31c2b9e51a776644e80e3a7b563ce022dfb
mkN099	N	2164	Str -> N	True	True	0		Masc	8a5eef4ad7afbdd6057f6e7f5a4b7e89ac9b556235410f1498a656744351f180
mkN100	N	2188	Str -> N	False	False	0		Fem	1efd241a5ad7fa6ee3bbe858c2a4a99d7867ec80d28a7296b312af537c1d3cfa
mkN101	N	2208	Str -> N	True	True	2	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:2	Fem	abe33bfd8933daa8c0564a4efc04f4d3c4f68d1a8c62764a2c18c934c0d5eac1
mkN102	N	2231	Str -> N	False	False	0		Masc	4c3b8ed50a78b275e44dac35f4c6f7e67c77125d5c19439d3d38df877323bbf5
mkN103	N	2251	Str -> N	False	False	0		Masc	1a48840462a556d793500d998ad0e9322c6f76c10ad63b9004d3a8901b5c34e7
mkN104	N	2271	Str -> N	True	True	5	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:5	Masc	a17cbe490d6d959736d6966f0e0946908e93daab2771fc0a74264a23f6e5a81c
mkN105	N	2294	Str -> N	False	False	0		Masc	5372ad29cff54e1be7a4518cda8a3db9886a1c4a37df2ecb2d998b7c031f68c0
mkN106	N	2314	Str -> N	False	False	14	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:14	Fem	99085ac4b722aff8b29d41ac65c1c64333312a20b9d2dca28cf24c3e85647244
mkN107	N	2334	Str -> N	False	False	2	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:2	Masc	f141476f3f5314fa5752fd4242b6bfdebe6f277f6ec60d234031d395a8e5bdd3
mkN108	N	2354	Str -> N	False	False	2	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:2	Masc	20986068526d18032a9d577396a9f748be87cf3e4e0bf5597858f49d0078f425
mkN109	N	2374	Str -> N	True	True	38	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:38	Fem	bfc5f0cbe56f3bc08bb7a7343e625539b3c313faf8c210e2550319b8d82d9244
mkN110	N	2397	Str -> N	True	True	3	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:3	Fem	936073b7a23e5eb819e7a09342c757e17cd99f8b37c4cfc7d7ba374c79da19be
mkN111	N	2420	Str -> N	False	False	0		Masc	5648d2186f8ff0af5a127de5d0618710dce95371450f6f2dd102f02207f9f8a4
mkN112	N	2443	Str -> N	True	True	3	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:3	Fem	d1a54ac66db222e165b3f48144bd11f0ac31f352b45f1ee4396888d8c21339fd
mkN113	N	2466	Str -> N	False	False	1	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:1	Masc	9d00351244ab27396de6260474d54f4e275331e0537d2676b8ad5f46ac700786
mkN114	N	2498	Str -> N	False	False	0		Fem	e0a5fbcae32b067e3b3181e696797e9c022feb87d0e0010f2637e54fa23320d3
mkN115	N	2518	Str -> N	False	False	4	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:4	Masc	2aac9379c253fc3ec35bd3988e8b1d4e111ae873ae0a3d6a28fda60ce8ab9452
mkN116	N	2538	Str -> N	True	True	1	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:1	Masc	d981f75d0e374dbbcc753cab9dd6d76da1a9bdd0a652a8d2cc693a0d23032aa7
mkN117	N	2561	Str -> N	True	True	0		Masc	4305a23154028831e93bf85a6db0e6ee67abf0002776b5d1bdb43924989c39a4
mkN118	N	2584	Str -> N	False	False	5	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:5	Fem	d01137c6f690a870c31b77f7e7ff97d918a2efa9327a573f0da34d4101b9207b
mkN119	N	2604	Str -> N	True	True	0		Fem	24c12dfc36d49d03262e5f6d8cd92ba287d4a5050b89da9c8513bc27ad6c1915
mkN120	N	2627	Str -> N	False	False	6	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:6	Masc	e09ac8fbb42db92c1b06b33798e8a87d319d66d429925c54d8a6b647548a3758
mkN121	N	2648	Str -> N	False	False	0		Masc	a2c7d1362c7aa36f46f2cd60011f54ae12803bdd7ee5e316f761d5495e6e2ac3
mkN122	N	2668	Str -> N	True	True	1	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:1	Masc	7e92de5723e818931540c50a1de7a3e55562d065b09efc2b64350a3b0dfc7473
mkN123	N	2691	Str -> N	True	True	0		Masc	617e1ad168d38275680618a9ef9c8a0e96254ba659da0e577bb6867e10b419ae
mkN124	N	2714	Str -> N	False	False	0		Masc	692d4145c2a403e063b27cd21b3af789d3064716d5eb84aabfc3143999340ece
mkN125	N	2734	Str -> N	False	False	0		Masc	6cacb82b192e660b8bb61ff82f960ae17a41156007ccd224a31a4730479f8326
mkN126	N	2754	Str -> N	False	False	0		Masc	b14c3460ecfa31aa2eab94b9aa7d018ceefd529198b7f44317d88bb981aa27f9
mkN127	N	2774	Str -> N	False	False	2	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:2	Masc	e76fa3ad732c22bfdb2f0792bc4de33ce8cbc277a28dd08aad54e94a33514171
mkN128	N	2794	Str -> N	True	True	0		Masc	60bf6b5b89ab5d1e9be697470bf97b8be6f5ec619a97d207ac3b7a128e7b2e46
mkN129	N	2817	Str -> N	True	True	2	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:2	Fem	536dd76c68d395a162d25a788b69ec4db6716c9d23f62a50bc5bcd1bc2849fc1
mkN130	N	2840	Str -> N	True	True	1	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:1	Masc	3821ba7b286bb6b27b62182576e012abb5b6eb1c3f11f49867782339b73e6d44
mkN131	N	2863	Str -> N	False	False	2	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:2	Masc	dbf1484a97101e93a739d82ac476a65af5b50ab5c22195e4577be82a972e5bc1
mkN132	N	2883	Str -> N	True	True	2	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:2	Fem	00bfd83722503961a85e8839b66ef1421e5841bbe43e2a7503df6a3bdd889e07
mkN133	N	2906	Str -> N	True	True	0		Masc	6f6347f08e46e56674d8f1534d455ae11e0875d34410ed90ff8d8cf88bc869fc
mkN134	N	2929	Str -> N	True	True	3	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:3	Masc	3df061e7e8788f6a642b2fa620600bda03cf2ad55af080e2ace7fcb2fc8a9a56
mkN135	N	2952	Str -> N	False	False	0		Masc	d1955a0dd39ac85438d35a5f1ce674eb7e6b5f9ecda3500b2541d257c93d97a7
mkN136	N	2972	Str -> N	False	False	2	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:2	Fem	aee1459a53aa0f8bf64f88f250f1ed17e3e14aa5d0328310114458d4c5661e75
mkN137	N	2992	Str -> N	True	True	4	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:4	Fem	2d9a353d5140a795c6f064fe711bdcc5f9e6058b5a807c5e32a459845ab39a02
mkN138	N	3015	Str -> N	False	False	0		Masc	90ddb311d32bd5546f52f8b9804994dc6283acc657f6683b6eba05ccf82919b3
mkN139	N	3035	Str -> N	False	False	0		Masc	156b592afbf5995d656aa443599f9aacd58e99933343961eb8e2bd1188dea0aa
mkN140	N	3055	Str -> N	False	False	0		Fem	186379ba194900ef2f37342fa6322961ac8f9d1c1e1f5c6ec4523fe12c581e67
mkN141	N	3075	Str -> N	True	True	0		Fem	cd6a77314947ad4554d539ca1370e90090cf4518113ebd322c52db72a3543e62
mkN142	N	3099	Str -> N	True	True	0		Fem	fed6164f80de9892e3a65e4267d5f66f3bca025644195aac38ba824d24dcdc82
mkN143	N	3122	Str -> N	False	False	0		Masc	e0e9c0c8fd3201980391fb5def192136c801396765dba0ab1a6df5f748f1c919
mkN144	N	3142	Str -> N	True	True	0		Masc	92dace6d14fd7786dacc415e6378dd2992a294c4dcfbe8ffbadd190e9fe54811
mkN145	N	3165	Str -> N	False	False	0		Masc	a4b63f31190249516b73e7c35558b7c858f78cf858aa408a74dcbbd8dd6b1a5a
mkN146	N	3185	Str -> N	True	True	13	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:13	Fem	71c1484d362fb53c3afefdcfecd5979aea71c3c51c7e1947b8faac770026706b
mkN147	N	3208	Str -> N	False	False	3	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:3	Masc	9b675bf163823d6fcc9198223c8881af59abcc63ba6613f4f3613e923a597e67
mkN148	N	3228	Str -> N	True	True	7	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:7	Fem	3f7f1642e6df5e0da15341ad6284fcb12e08964d8aedd093ebe9146d860892ba
mkN149	N	3251	Str -> N	True	True	11	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:11	Fem	e6c9b3b365c9ceda5eea4c9de4c138f9cef12dbab9779da1680b83b18fdce0e5
mkN150	N	3274	Str -> N	True	True	0		Fem	e23a5f42e064fc22d87a9b82eafab586f05e94df287e26c580e9fd4393397db7
mkN151	N	3297	Str -> N	False	False	0		Masc	0f894ca1ee6d2c5addc356094ee4aa5799918133149839c66140ddb4b96581f6
mkN152	N	3317	Str -> N	False	False	8	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf:8	Fem	31a148895e7bf0591ac1ee508c3ecce2a6a5c96f318b303481521e208c6f1aa6
mkN153	N	3337	Str -> N	True	True	0		Masc	22d8476570d2f070b40bb3b906b46d2fbaae356daff064e35d2a8ae188e0ca98
