id,base,cat,status,detail,source,observed_forms,smart_class,matching_classes,gender
lag_V,lag,V,BLOCKED_INSUFFICIENT_EVIDENCE,smart=mkV001; matching numbered classes=11,Tosk reference,lagte,mkV001,"mkV013,mkV017,mkV018,mkV029,mkV033,mkV064,mkV114,mkV115,mkV117,mkV127,mkV134",
lart_A,lart,A,BLOCKED_INSUFFICIENT_EVIDENCE,smart=mkA001; matching numbered classes=3,Tosk reference,lartë,mkA001,"mkA002,mkA004,mkA010",feminine
mbretëri_N,mbretëri,N,BLOCKED_INSUFFICIENT_EVIDENCE,smart=mkN152; matching numbered classes=12,Tosk reference,mbretërisë,mkN152,"mkN008,mkN023,mkN024,mkN059,mkN060,mkN080,mkN118,mkN190,mkN232,mkN349,mkN388,mkN459",feminine
mur_N,mur,N,BLOCKED_INSUFFICIENT_EVIDENCE,smart=mkN031; matching numbered classes=22,Tosk reference,muret,mkN031,"mkN001,mkN002,mkN005,mkN027,mkN033,mkN038,mkN056,mkN074,mkN084,mkN085,mkN086,mkN111,mkN139,mkN225,mkN403,mkN417,mkN431,mkN444,mkN448,mkN471,mkN518,mkN522",masculine
ndarje_N,ndarje,N,BLOCKED_SOURCE_CONFLICT,"recorded masculine gender conflicts with all evidence-matching classes, which are feminine",Tosk reference,ndarjes,mkN188,"mkN063,mkN228,mkN310,mkN328",masculine
ndërsë_N,ndërsë,N,BLOCKED_SOURCE_CONFLICT,lemma/orthography in source row conflicts with observed form family; manual source review required,Tosk reference,ndërtesat,mkN109,,feminine
njeri_N,njeri,N,BLOCKED_INSUFFICIENT_EVIDENCE,smart=mkN059; matching numbered classes=36,Tosk reference,"njeriu,njeriut",mkN059,"mkN010,mkN014,mkN018,mkN025,mkN034,mkN038,mkN041,mkN047,mkN052,mkN055,mkN064,mkN066,mkN074,mkN082,mkN090,mkN098,mkN107,mkN111,mkN135,mkN151,mkN178,mkN179,mkN180,mkN198,mkN200,mkN225,mkN230,mkN236,mkN247,mkN251,mkN277,mkN307,mkN329,mkN479,mkN541,mkN545",masculine
nënshkruaj_V,nënshkruaj,V,BLOCKED_INSUFFICIENT_EVIDENCE,smart=mkV007; matching numbered classes=13,Tosk reference,nënshkruan,mkV007,"mkV024,mkV032,mkV038,mkV042,mkV044,mkV047,mkV068,mkV071,mkV093,mkV094,mkV095,mkV132,mkV133",
pranvëre_N,pranvëre,N,BLOCKED_SOURCE_CONFLICT,lemma/orthography in source row conflicts with observed form family; manual source review required,Tosk reference,pranverë,mkN028,,feminine
përziej_V,përziej,V,BLOCKED_INSUFFICIENT_EVIDENCE,smart=mkV047; matching numbered classes=2,Tosk reference,përzier,mkV047,"mkV044,mkV105",masculine
qull_V,qull,V,BLOCKED_INSUFFICIENT_EVIDENCE,smart=mkV001; matching numbered classes=3,Tosk reference,qullur,mkV001,"mkV018,mkV117,mkV134",
rom_A,rom,A,BLOCKED_INSUFFICIENT_EVIDENCE,smart=none; matching numbered classes=6,Tosk reference,rome,,"mkA001,mkA004,mkA015,mkA019,mkA020,mkA031",feminine
shetëror_A,shetëror,A,BLOCKED_SOURCE_CONFLICT,lemma/orthography in source row conflicts with observed form family; manual source review required,Tosk reference,shtetëror,mkA004,,masculine
shoqëri_N,shoqëri,N,BLOCKED_INSUFFICIENT_EVIDENCE,smart=mkN152; matching numbered classes=12,Tosk reference,shoqërisë,mkN152,"mkN008,mkN023,mkN024,mkN059,mkN060,mkN080,mkN118,mkN190,mkN232,mkN349,mkN388,mkN459",feminine
Shqipëri_N,Shqipëri,N,BLOCKED_INSUFFICIENT_EVIDENCE,smart=mkN152; matching numbered classes=12,Tosk reference,"Shqipëri,Shqipërisë",mkN152,"mkN008,mkN023,mkN024,mkN059,mkN060,mkN080,mkN118,mkN190,mkN232,mkN349,mkN388,mkN459",feminine
simbol_N,simbol,N,BLOCKED_INSUFFICIENT_EVIDENCE,smart=mkN020; matching numbered classes=26,Tosk reference,"simbolet,simboleve",mkN020,"mkN001,mkN002,mkN005,mkN027,mkN033,mkN038,mkN056,mkN060,mkN073,mkN074,mkN084,mkN085,mkN086,mkN111,mkN139,mkN205,mkN225,mkN331,mkN403,mkN417,mkN431,mkN432,mkN444,mkN448,mkN471,mkN522",ambigeneric
svetigradas_N,svetigradas,N,BLOCKED_SOURCE_CONFLICT,lemma/orthography in source row conflicts with observed form family; manual source review required,Tosk reference,sfetigradas,mkN070,,masculine
tjetër_N,tjetër,N,BLOCKED_INSUFFICIENT_EVIDENCE,smart=mkN137; matching numbered classes=0,Tosk reference,tjerave,mkN137,,masculine
varem_V,varem,V,BLOCKED_INSUFFICIENT_EVIDENCE,smart=mkV055; matching numbered classes=2,Tosk reference,varet,mkV055,"mkV041,mkV061",
vulos_V,vulos,V,BLOCKED_INSUFFICIENT_EVIDENCE,smart=mkV001; matching numbered classes=4,Tosk reference,vulosur,mkV001,"mkV018,mkV100,mkV117,mkV134",masculine
xhade_N,xhade,N,BLOCKED_INSUFFICIENT_EVIDENCE,smart=mkN028; matching numbered classes=9,Tosk reference,xhadesë,mkN028,"mkN008,mkN023,mkN024,mkN059,mkN060,mkN080,mkN118,mkN190,mkN232",feminine
zëmër_N,zëmër,N,BLOCKED_INSUFFICIENT_EVIDENCE,smart=mkN166; matching numbered classes=9,Tosk reference,zëmrat,mkN166,"mkN112,mkN137,mkN234,mkN305,mkN414,mkN441,mkN454,mkN477,mkN488",feminine
