id,base,cat,quality,source,expr,note
kushtetues_A,kushtetues,A,compile-safe-placeholder,Tosk reference,"invariantA ""kushtetues""",Tosk ref observed: kushtetues; Compile-safe placeholder pending Albanian paradigm certification.
lagur_A,lagur,A,exact,RGL LexiconSqi,"mkA ""lagur""",wet_A
lagët_A,lagët,A,compile-safe-placeholder,Tosk reference,"invariantA ""lagët""",Tosk ref observed: lagët; Compile-safe placeholder pending Albanian paradigm certification.
lart_A,lart,A,compile-safe-placeholder,Tosk reference,"invariantA ""lart""",Tosk ref observed: lartë; Compile-safe placeholder pending Albanian paradigm certification.
lehtë_A,lehtë,A,exact,RGL LexiconSqi,"mkA ""lehtë""",easy_A2V
lëmuar_A,lëmuar,A,exact,RGL LexiconSqi,"mkA ""lëmuar""",smooth_A
madh_A,madh,A,exact,RGL LexiconSqi,"mkA ""madh""",big_A
martuar_A,martuar,A,exact,RGL LexiconSqi,"mkA ""martuar""",married_A2
mirë_A,mirë,A,exact,RGL LexiconSqi,"mkA ""mirë""",good_A
mprehtë_A,mprehtë,A,exact,RGL LexiconSqi,"mkA ""mprehtë""",sharp_A
mundshëm_A,mundshëm,A,exact,RGL LexiconSqi,"mkA ""mundshëm""",probable_AS
mërzitshëm_A,mërzitshëm,A,exact,RGL LexiconSqi,"mkA ""mërzitshëm""",dull_A
ngrohtë_A,ngrohtë,A,exact,RGL LexiconSqi,"mkA ""ngrohtë""",warm_A
ngushtë_A,ngushtë,A,exact,RGL LexiconSqi,"mkA ""ngushtë""",narrow_A
nxehtë_A,nxehtë,A,exact,RGL LexiconSqi,"mkA ""nxehtë""",hot_A
pamundur_A,pamundur,A,compile-safe-placeholder,Tosk reference,"invariantA ""pamundur""",Tosk ref observed: pamundur; Compile-safe placeholder pending Albanian paradigm certification.
papritur_A,papritur,A,compile-safe-placeholder,Tosk reference,"invariantA ""papritur""",Tosk ref observed: papritur; Compile-safe placeholder pending Albanian paradigm certification.
parë_A,parë,A,compile-safe-placeholder,Tosk reference,"invariantA ""parë""",Tosk ref observed: para; Compile-safe placeholder pending Albanian paradigm certification.
pasigurt_A,pasigurt,A,exact,RGL LexiconSqi,"mkA ""pasigurt""",uncertain_A
pastër_A,pastër,A,exact,RGL LexiconSqi,"mkA ""pastër""",clean_A
pis_A,pis,A,exact,RGL LexiconSqi,"mkA ""pis""",dirty_A
plot_A,plot,A,exact,RGL LexiconSqi,"mkA ""plot""",full_A
politik_A,politik,A,compile-safe-placeholder,Tosk reference,"invariantA ""politik""",Tosk ref observed: politike; Compile-safe placeholder pending Albanian paradigm certification.
porsaardhur_A,porsaardhur,A,compile-safe-placeholder,Tosk reference,"invariantA ""porsaardhur""",Tosk ref observed: porsaardhur; Compile-safe placeholder pending Albanian paradigm certification.
përfundimtar_A,përfundimtar,A,compile-safe-placeholder,Tosk reference,"invariantA ""përfundimtar""",Tosk ref observed: përfundimtare; Compile-safe placeholder pending Albanian paradigm certification.
ri_A,ri,A,exact,RGL LexiconSqi,"mkA ""ri""",new_A; young_A
rom_A,rom,A,compile-safe-placeholder,Tosk reference,"invariantA ""rom""",Tosk ref observed: rome; Compile-safe placeholder pending Albanian paradigm certification.
rrumbullakët_A,rrumbullakët,A,exact,RGL LexiconSqi,"mkA ""rrumbullakët""",round_A
rëndë_A,rëndë,A,exact,RGL LexiconSqi,"mkA ""rëndë""",heavy_A
rëndësishëm_A,rëndësishëm,A,exact,RGL LexiconSqi,"mkA ""rëndësishëm""",important_A
saktë_A,saktë,A,exact,RGL LexiconSqi,"mkA ""saktë""",correct_A
serb_A,serb,A,compile-safe-placeholder,Tosk reference,"invariantA ""serb""",Tosk ref observed: serbe; Compile-safe placeholder pending Albanian paradigm certification.
shetëror_A,shetëror,A,compile-safe-placeholder,Tosk reference,"invariantA ""shetëror""",Tosk ref observed: shtetëror; Compile-safe placeholder pending Albanian paradigm certification.
shkurtër_A,shkurtër,A,exact,RGL LexiconSqi,"mkA ""shkurtër""",short_A
shoqëror_A,shoqëror,A,compile-safe-placeholder,Tosk reference,"invariantA ""shoqëror""",Tosk ref observed: shoqërore; Compile-safe placeholder pending Albanian paradigm certification.
shqip_A,shqip,A,compile-safe-placeholder,Tosk reference,"invariantA ""shqip""",Tosk ref observed: shqipe; Compile-safe placeholder pending Albanian paradigm certification.
shtetëror_A,shtetëror,A,compile-safe-placeholder,Tosk reference,"invariantA ""shtetëror""",Tosk ref observed: shtetërore; Compile-safe placeholder pending Albanian paradigm certification.
shumetnik_A,shumetnik,A,compile-safe-placeholder,Tosk reference,"invariantA ""shumetnik""",Tosk ref observed: shumetnik; Compile-safe placeholder pending Albanian paradigm certification.
shëmtuar_A,shëmtuar,A,exact,RGL LexiconSqi,"mkA ""shëmtuar""",ugly_A
social_A,social,A,compile-safe-placeholder,Tosk reference,"invariantA ""social""",Tosk ref observed: sociale; Compile-safe placeholder pending Albanian paradigm certification.
thatë_A,thatë,A,exact,RGL LexiconSqi,"mkA ""thatë""",dry_A
themelor_A,themelor,A,compile-safe-placeholder,Tosk reference,"invariantA ""themelor""",Tosk ref observed: themelore; Compile-safe placeholder pending Albanian paradigm certification.
tjetër_A,tjetër,A,compile-safe-placeholder,Tosk reference,"invariantA ""tjetër""","Tosk ref observed: tjera, tjetër; Compile-safe placeholder pending Albanian paradigm certification."
trashë_A,trashë,A,exact,RGL LexiconSqi,"mkA ""trashë""",thick_A
trishtuar_A,trishtuar,A,compile-safe-placeholder,Tosk reference,"invariantA ""trishtuar""",Tosk ref observed: trishtuar; Compile-safe placeholder pending Albanian paradigm certification.
turk_A,turk,A,compile-safe-placeholder,Tosk reference,"invariantA ""turk""",Tosk ref observed: turke; Compile-safe placeholder pending Albanian paradigm certification.
verdhë_A,verdhë,A,exact,RGL LexiconSqi,"mkA ""verdhë""",yellow_A
vjetër_A,vjetër,A,exact,RGL LexiconSqi,"mkA ""vjetër""",old_A
vogël_A,vogël,A,exact,RGL LexiconSqi,"mkA ""vogël""",small_A
vërtetë_A,vërtetë,A,compile-safe-placeholder,Tosk reference,"invariantA ""vërtetë""",Tosk ref observed: vërtetë; Compile-safe placeholder pending Albanian paradigm certification.
zbavitës_A,zbavitës,A,exact,RGL LexiconSqi,"mkA ""zbavitës""",fun_AV
zgjuar_A,zgjuar,A,exact,RGL LexiconSqi,"mkA ""zgjuar""",clever_A
zi_A,zi,A,exact,RGL LexiconSqi,"mkA ""zi""",black_A
zjarrtë_A,zjarrtë,A,compile-safe-placeholder,Tosk reference,"invariantA ""zjarrtë""",Tosk ref observed: zjarrtë; Compile-safe placeholder pending Albanian paradigm certification.
zyrtar_A,zyrtar,A,compile-safe-placeholder,Tosk reference,"invariantA ""zyrtar""","Tosk ref observed: zyrtar, zyrtare; Compile-safe placeholder pending Albanian paradigm certification."
aq_Adv,aq,Adv,exact-normalized,RGL StructuralSqiClause,"mkAdv ""aq""",AdA/AdV/AdN normalized to Adv where applicable
atje_Adv,atje,Adv,exact-normalized,RGL StructuralSqiClause,"mkAdv ""atje""",AdA/AdV/AdN normalized to Adv where applicable
bashkë_Adv,bashkë,Adv,direct-invariant,Tosk reference,"mkAdv ""bashkë""",Tosk ref observed: bashkë
diku_Adv,diku,Adv,exact-normalized,RGL StructuralSqiClause,"mkAdv ""diku""",AdA/AdV/AdN normalized to Adv where applicable
edhe_Adv,edhe,Adv,direct-invariant,Tosk reference,"mkAdv ""edhe""",Tosk ref observed: edhe
gjithmonë_Adv,gjithmonë,Adv,exact-normalized,RGL StructuralSqiClause,"mkAdv ""gjithmonë""",AdA/AdV/AdN normalized to Adv where applicable
kudo_Adv,kudo,Adv,exact-normalized,RGL StructuralSqiClause,"mkAdv ""kudo""",AdA/AdV/AdN normalized to Adv where applicable
kur_Adv,kur,Adv,direct-invariant,Tosk reference,"mkAdv ""kur""",Tosk ref observed: kur
këtu_Adv,këtu,Adv,exact-normalized,RGL StructuralSqiClause,"mkAdv ""këtu""",AdA/AdV/AdN normalized to Adv where applicable
larg_Adv,larg,Adv,exact,RGL LexiconSqi,"mkAdv ""larg""",far_Adv
mjaft_Adv,mjaft,Adv,exact-normalized,RGL StructuralSqiClause,"mkAdv ""mjaft""",AdA/AdV/AdN normalized to Adv where applicable
mos_Adv,mos,Adv,direct-invariant,Tosk reference,"mkAdv ""mos""",Tosk ref observed: mos
më_Adv,më,Adv,direct-invariant,Tosk reference,"mkAdv ""më""",Tosk ref observed: më
nuk_Adv,nuk,Adv,direct-invariant,Tosk reference,"mkAdv ""nuk""",Tosk ref observed: nuk
para_Adv,para,Adv,direct-invariant,Tosk reference,"mkAdv ""para""",Tosk ref observed: para
plot_Adv,plot,Adv,direct-invariant,Tosk reference,"mkAdv ""plot""",Tosk ref observed: plot
pothuajse_Adv,pothuajse,Adv,exact-normalized,RGL StructuralSqiClause,"mkAdv ""pothuajse""",AdA/AdV/AdN normalized to Adv where applicable
pëkundrazi_Adv,pëkundrazi,Adv,direct-invariant,Tosk reference,"mkAdv ""pëkundrazi""",Tosk ref observed: përkundrazi
sa_Adv,sa,Adv,direct-invariant,Tosk reference,"mkAdv ""sa""",Tosk ref observed: sa
shumë_Adv,shumë,Adv,exact-normalized,RGL StructuralSqiClause,"mkAdv ""shumë""",AdA/AdV/AdN normalized to Adv where applicable
sot_Adv,sot,Adv,exact,RGL LexiconSqi,"mkAdv ""sot""",today_Adv
taman_Adv,taman,Adv,direct-invariant,Tosk reference,"mkAdv ""taman""",Tosk ref observed: taman
tani_Adv,tani,Adv,exact,RGL LexiconSqi,"mkAdv ""tani""",now_Adv
tashmë_Adv,tashmë,Adv,exact,RGL LexiconSqi,"mkAdv ""tashmë""",already_Adv
tepër_Adv,tepër,Adv,exact-normalized,RGL StructuralSqiClause,"mkAdv ""tepër""",AdA/AdV/AdN normalized to Adv where applicable
vetëm_Adv,vetëm,Adv,direct-invariant,Tosk reference,"mkAdv ""vetëm""",Tosk ref observed: vetëm
dhe_Conj,dhe,Conj,exact,RGL StructuralSqiClause,"mkConj ""dhe""",
e_Conj,e,Conj,direct-invariant,Tosk reference,"mkConj ""e""",Tosk ref observed: e
ose_Conj,ose,Conj,exact,RGL StructuralSqiClause,"mkConj ""ose""",
por_Conj,por,Conj,direct-invariant,Tosk reference,"mkConj ""por""",Tosk ref observed: por
pra_Conj,pra,Conj,direct-invariant,Tosk reference,"mkConj ""pra""",Tosk ref observed: pra
që_Conj,që,Conj,direct-invariant,Tosk reference,"mkConj ""që""",Tosk ref observed: që
sa_Conj,sa,Conj,direct-invariant,Tosk reference,"mkConj ""sa""",Tosk ref observed: sa
se_Conj,se,Conj,direct-invariant,Tosk reference,"mkConj ""se""",Tosk ref observed: se
sepse_Conj,sepse,Conj,direct-invariant,Tosk reference,"mkConj ""sepse""",Tosk ref observed: sepse
si_Conj,si,Conj,direct-invariant,Tosk reference,"mkConj ""si""",Tosk ref observed: si
sikur_Conj,sikur,Conj,direct-invariant,Tosk reference,"mkConj ""sikur""",Tosk ref observed: sikur
të_Conj,të,Conj,direct-invariant,Tosk reference,"mkConj ""të""","Tosk ref observed: t'i, t'ia, t'ju, ta, të"
disa_1_Det,disa,Det,exact,RGL StructuralSqiNominal,SN.somePl_Det,pl
disa_2_Det,disa,Det,exact,RGL StructuralSqiNominal,SN.someSg_Det,sg
pak_Det,pak,Det,exact,RGL StructuralSqiNominal,SN.few_Det,pl
shumë_1_Det,shumë,Det,exact,RGL StructuralSqiNominal,SN.many_Det,pl
shumë_2_Det,shumë,Det,exact,RGL StructuralSqiNominal,SN.much_Det,sg
çdo_Det,çdo,Det,exact,RGL StructuralSqiNominal,SN.every_Det,sg
ku_IAdv,ku,IAdv,exact,RGL StructuralSqiClause,"mkIAdv ""ku""",
kur_IAdv,kur,IAdv,exact,RGL StructuralSqiClause,"mkIAdv ""kur""",
pse_IAdv,pse,IAdv,exact,RGL StructuralSqiClause,"mkIAdv ""pse""",
sa_IAdv,sa,IAdv,exact,RGL StructuralSqiClause,"mkIAdv ""sa""",
si_IAdv,si,IAdv,exact,RGL StructuralSqiClause,"mkIAdv ""si""",
sa_IDet,sa,IDet,exact,RGL StructuralSqiNominal,SN.how8many_IDet,
kush_1_IP,kush,IP,exact,RGL StructuralSqiNominal,SN.whoPl_IP,pl
kush_2_IP,kush,IP,exact,RGL StructuralSqiNominal,SN.whoSg_IP,sg
çfarë_1_IP,çfarë,IP,exact,RGL StructuralSqiNominal,SN.whatPl_IP,pl
çfarë_2_IP,çfarë,IP,exact,RGL StructuralSqiNominal,SN.whatSg_IP,sg
cili_IQuant,cili,IQuant,exact,RGL StructuralSqiNominal,SN.which_IQuant,
medet_Interj,medet,Interj,exact,RGL LexiconSqi,"mkInterj ""medet""",alas_Interj
o_Interj,o,Interj,direct-invariant,Tosk reference,"mkInterj ""o""",Tosk ref observed: o
Epir_N,Epir,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""Epir"") masculine","Tosk ref observed: Epir, Epirit; Compile-safe placeholder pending Albanian paradigm certification."
Kosovë_N,Kosovë,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""Kosovë"") feminine",Tosk ref observed: Kosovës; Compile-safe placeholder pending Albanian paradigm certification.
Murat_N,Murat,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""Murat"") masculine",Tosk ref observed: Murati; Compile-safe placeholder pending Albanian paradigm certification.
Shqipëri_N,Shqipëri,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""Shqipëri"") feminine","Tosk ref observed: Shqipëri, Shqipërisë; Compile-safe placeholder pending Albanian paradigm certification."
aeroplan_N,aeroplan,N,exact,RGL LexiconSqi,"mkN032 ""aeroplan""",airplane_N
aeroport_N,aeroport,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""aeroport"") masculine",Tosk ref observed: aeroportit; Compile-safe placeholder pending Albanian paradigm certification.
akull_N,akull,N,exact,RGL LexiconSqi,"mkN ""akull""",ice_N
anije_N,anije,N,exact,RGL LexiconSqi,"mkN ""anije""",ship_N
apartament_N,apartament,N,exact,RGL LexiconSqi,"mkN ""apartament""",apartment_N
ar_N,ar,N,exact,RGL LexiconSqi,"mkN ""ar""",gold_N
argjend_N,argjend,N,exact,RGL LexiconSqi,"mkN ""argjend""",silver_N
armik_N,armik,N,exact,RGL LexiconSqi,"mkN ""armik""",enemy_N
armë_N,armë,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""armë"") feminine",Tosk ref observed: armët; Compile-safe placeholder pending Albanian paradigm certification.
arsye_N,arsye,N,exact,RGL LexiconSqi,"mkN ""arsye""",reason_N
art_N,art,N,exact,RGL LexiconSqi,"mkN ""art""",art_N
asfalt_N,asfalt,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""asfalt"") masculine",Tosk ref observed: asfaltin; Compile-safe placeholder pending Albanian paradigm certification.
atdhe_N,atdhe,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""atdhe"") masculine",Tosk ref observed: atdheut; Compile-safe placeholder pending Albanian paradigm certification.
baba_N,baba,N,exact,RGL LexiconSqi,"mkN ""baba""",father_N2
bankë_N,bankë,N,exact,RGL LexiconSqi,"mkN ""bankë""",bank_N
bar_N,bar,N,exact,RGL LexiconSqi,"mkN ""bar""",grass_N
barazi_N,barazi,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""barazi"") feminine","Tosk ref observed: barazinë, barazisë; Compile-safe placeholder pending Albanian paradigm certification."
bark_N,bark,N,exact,RGL LexiconSqi,"mkN ""bark""",belly_N
besnikëri_N,besnikëri,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""besnikëri"") feminine",Tosk ref observed: besnikërinë; Compile-safe placeholder pending Albanian paradigm certification.
beton_N,beton,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""beton"") masculine",Tosk ref observed: betonin; Compile-safe placeholder pending Albanian paradigm certification.
birrë_N,birrë,N,exact,RGL LexiconSqi,"mkN ""birrë""",beer_N
bisedim_N,bisedim,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""bisedim"") masculine",Tosk ref observed: bisedimet; Compile-safe placeholder pending Albanian paradigm certification.
bisht_N,bisht,N,exact,RGL LexiconSqi,"mkN ""bisht""",tail_N
biçikletë_N,biçikletë,N,exact,RGL LexiconSqi,"mkN ""biçikletë""",bike_N
borë_N,borë,N,exact,RGL LexiconSqi,"mkN ""borë""",snow_N
breg_N,breg,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""breg"") masculine",Tosk ref observed: brigjet; Compile-safe placeholder pending Albanian paradigm certification.
bri_N,bri,N,exact,RGL LexiconSqi,"mkN ""bri""",horn_N
bukë_N,bukë,N,exact,RGL LexiconSqi,"mkN ""bukë""",bread_N
burrë_N,burrë,N,exact,RGL LexiconSqi,mkNFull manNForms masculine,man_N
dashuri_N,dashuri,N,exact,RGL LexiconSqi,"mkN ""dashuri""",love_N
dele_N,dele,N,exact,RGL LexiconSqi,"mkN ""dele""",sheep_N
demokraci_N,demokraci,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""demokraci"") feminine",Tosk ref observed: demokracisë; Compile-safe placeholder pending Albanian paradigm certification.
derë_N,derë,N,exact,RGL LexiconSqi,"mkN ""derë""",door_N
det_N,det,N,exact,RGL LexiconSqi,"mkN ""det""",sea_N
dhjamë_N,dhjamë,N,exact,RGL LexiconSqi,"mkN ""dhjamë""",fat_N
dhëmb_N,dhëmb,N,exact,RGL LexiconSqi,"mkN ""dhëmb""",tooth_N
diell_N,diell,N,rgl+reference-characteristic,RGL LexiconSqi,"forceGender (mkN ""diell"") masculine",sun_N; Tosk characteristic form/gender applied
distancë_N,distancë,N,exact,RGL LexiconSqi,"mkN ""distancë""",distance_N3
ditë_N,ditë,N,exact,RGL LexiconSqi,"mkN ""ditë""",day_N
djalë_N,djalë,N,exact,RGL LexiconSqi,mkNFull boyNForms masculine,boy_N
djathë_N,djathë,N,exact,RGL LexiconSqi,"mkN ""djathë""",cheese_N
dorezë_N,dorezë,N,exact,RGL LexiconSqi,"mkN ""dorezë""",glove_N
dorë_N,dorë,N,exact,RGL LexiconSqi,"mkN ""dorë""",hand_N
drejtë_N,drejtë,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""drejtë"") feminine","Tosk ref observed: drejtave, drejtë, drejtës; Compile-safe placeholder pending Albanian paradigm certification."
drejtësi_N,drejtësi,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""drejtësi"") feminine",Tosk ref observed: drejtësisë; Compile-safe placeholder pending Albanian paradigm certification.
dritare_N,dritare,N,exact,RGL LexiconSqi,"mkN ""dritare""",window_N
dru_N,dru,N,exact,RGL LexiconSqi,"mkN ""dru""",wood_N
dyqan_N,dyqan,N,exact,RGL LexiconSqi,"mkN ""dyqan""",shop_N
dysheme_N,dysheme,N,exact,RGL LexiconSqi,"mkN ""dysheme""",floor_N
dëborë_N,dëborë,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""dëborë"") feminine",Tosk ref observed: dëborë; Compile-safe placeholder pending Albanian paradigm certification.
ekonomi_N,ekonomi,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""ekonomi"") feminine",Tosk ref observed: ekonomisë; Compile-safe placeholder pending Albanian paradigm certification.
emër_N,emër,N,exact,RGL LexiconSqi,"mkN ""emër""",name_N
erë_N,erë,N,exact,RGL LexiconSqi,"mkN ""erë""",wind_N
eshtër_N,eshtër,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""eshtër"") feminine",Tosk ref observed: eshtrave; Compile-safe placeholder pending Albanian paradigm certification.
fabrikë_N,fabrikë,N,exact,RGL LexiconSqi,"mkN ""fabrikë""",factory_N
farë_N,farë,N,exact,RGL LexiconSqi,"mkN ""farë""",seed_N
fat_N,fat,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""fat"") masculine",Tosk ref observed: fati; Compile-safe placeholder pending Albanian paradigm certification.
fe_N,fe,N,exact,RGL LexiconSqi,"mkN ""fe""",religion_N
femër_N,femër,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""femër"") feminine",Tosk ref observed: femrave; Compile-safe placeholder pending Albanian paradigm certification.
fillim_N,fillim,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""fillim"") masculine",Tosk ref observed: fillimi; Compile-safe placeholder pending Albanian paradigm certification.
fitore_N,fitore,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""fitore"") feminine",Tosk ref observed: fitoren; Compile-safe placeholder pending Albanian paradigm certification.
flamur_N,flamur,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""flamur"") masculine","Tosk ref observed: flamuri, flamurit; Compile-safe placeholder pending Albanian paradigm certification."
flok_N,flok,N,exact,RGL LexiconSqi,"mkN ""flok""",hair_N
foshnjë_N,foshnjë,N,exact,RGL LexiconSqi,"mkN ""foshnjë""",baby_N
frigorifer_N,frigorifer,N,exact,RGL LexiconSqi,"mkN ""frigorifer""",fridge_N
frut_N,frut,N,exact,RGL LexiconSqi,"mkN ""frut""",fruit_N
fshat_N,fshat,N,exact,RGL LexiconSqi,"mkN ""fshat""",village_N
fund_N,fund,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""fund"") masculine",Tosk ref observed: fund; Compile-safe placeholder pending Albanian paradigm certification.
fushë_N,fushë,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""fushë"") feminine","Tosk ref observed: fushat, fushën; Compile-safe placeholder pending Albanian paradigm certification."
fëmijë_N,fëmijë,N,exact,RGL LexiconSqi,"mkN ""fëmijë""",child_N
gazetë_N,gazetë,N,exact,RGL LexiconSqi,"mkN ""gazetë""",newspaper_N
gjak_N,gjak,N,exact,RGL LexiconSqi,"mkN ""gjak""",blood_N
gjalpë_N,gjalpë,N,exact,RGL LexiconSqi,"mkN ""gjalpë""",butter_N
gjarpër_N,gjarpër,N,exact,RGL LexiconSqi,"mkN ""gjarpër""",snake_N
gjeneral_N,gjeneral,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""gjeneral"") masculine","Tosk ref observed: gjenerali, gjeneralit; Compile-safe placeholder pending Albanian paradigm certification."
gjethe_N,gjethe,N,exact,RGL LexiconSqi,"mkN ""gjethe""",leaf_N
gji_N,gji,N,exact,RGL LexiconSqi,"mkN ""gji""",breast_N
gju_N,gju,N,exact,RGL LexiconSqi,"mkN ""gju""",knee_N
gjuhë_N,gjuhë,N,rgl+reference-characteristic,RGL LexiconSqi,"forceGender (mkN ""gjuhë"") feminine",language_N; Tosk characteristic form/gender applied; tongue_N; Tosk characteristic form/gender applied
gojë_N,gojë,N,exact,RGL LexiconSqi,"mkN ""gojë""",mouth_N
gomë_N,gomë,N,exact,RGL LexiconSqi,"mkN ""gomë""",rubber_N
gramatikë_N,gramatikë,N,exact,RGL LexiconSqi,"mkN ""gramatikë""",grammar_N
grua_N,grua,N,exact,RGL LexiconSqi,"mkN ""grua""",wife_N; woman_N
gur_N,gur,N,exact,RGL LexiconSqi,"mkN ""gur""",stone_N
gusht_N,gusht,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""gusht"") masculine",Tosk ref observed: gushtit; Compile-safe placeholder pending Albanian paradigm certification.
hekur_N,hekur,N,exact,RGL LexiconSqi,"mkN ""hekur""",iron_N
hi_N,hi,N,exact,RGL LexiconSqi,"mkN ""hi""",ashes_N
himn_N,himn,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""himn"") masculine",Tosk ref observed: himni; Compile-safe placeholder pending Albanian paradigm certification.
hundë_N,hundë,N,exact,RGL LexiconSqi,"mkN ""hundë""",nose_N
hyrje_N,hyrje,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""hyrje"") feminine",Tosk ref observed: hyrjes; Compile-safe placeholder pending Albanian paradigm certification.
hënë_N,hënë,N,exact,RGL LexiconSqi,"mkN ""hënë""",moon_N
industri_N,industri,N,exact,RGL LexiconSqi,"mkN ""industri""",industry_N
jetë_N,jetë,N,compile-safe-placeholder,Tosk reference,"forceGender (invariantN ""jetë"") feminine","Tosk ref observed: jetën, jetës; Compile-safe placeholder pending Albanian paradigm certification."
kafshë_N,kafshë,N,exact,RGL LexiconSqi,"mkN ""kafshë""",animal_N
